date,hour,price_eur_mwh
2024-11-09,18,130.04
2024-11-09,19,133.34
2024-11-09,20,134.86
2024-11-09,21,128.32
2024-11-09,22,117.96
2024-11-09,23,114.53
2024-11-09,24,110.1
2024-11-10,1,104.99
2024-11-10,2,102.28
2024-11-10,3,97.69
2024-11-10,4,92.52
2024-11-10,5,90.0
2024-11-10,6,89.18
2024-11-10,7,95.09
2024-11-10,8,102.45
2024-11-10,9,97.95
2024-11-10,10,82.78
2024-11-10,11,65.2
2024-11-10,12,50.0
2024-11-10,13,48.4
2024-11-10,14,49.01
2024-11-10,15,49.01
2024-11-10,16,50.24
2024-11-10,17,83.2
2024-11-10,18,116.0
2024-11-10,19,127.99
2024-11-10,20,128.02
2024-11-10,21,125.31
2024-11-10,22,115.28
2024-11-10,23,111.1
2024-11-10,24,108.02
2024-11-11,1,109.0
2024-11-11,2,101.71
2024-11-11,3,99.39
2024-11-11,4,85.38
2024-11-11,5,80.66
2024-11-11,6,80.2
2024-11-11,7,84.1
2024-11-11,8,105.72
2024-11-11,9,109.0
2024-11-11,10,79.9
2024-11-11,11,50.24
2024-11-11,12,45.2
2024-11-11,13,33.49
2024-11-11,14,15.2
2024-11-11,15,33.27
2024-11-11,16,48.04
2024-11-11,17,65.63
2024-11-11,18,106.7
2024-11-11,19,115.89
2024-11-11,20,116.86
2024-11-11,21,109.69
2024-11-11,22,96.73
2024-11-11,23,88.92
2024-11-11,24,78.2
2024-11-12,1,65.0
2024-11-12,2,49.97
2024-11-12,3,49.78
2024-11-12,4,45.38
2024-11-12,5,31.24
2024-11-12,6,49.84
2024-11-12,7,70.2
2024-11-12,8,102.66
2024-11-12,9,102.67
2024-11-12,10,69.98
2024-11-12,11,4.31
2024-11-12,12,3.32
2024-11-12,13,3.32
2024-11-12,14,3.32
2024-11-12,15,4.31
2024-11-12,16,11.01
2024-11-12,17,66.02
2024-11-12,18,102.67
2024-11-12,19,115.06
2024-11-12,20,120.76
2024-11-12,21,128.86
2024-11-12,22,120.28
2024-11-12,23,119.92
2024-11-12,24,113.87
2024-11-13,1,100.13
2024-11-13,2,99.47
2024-11-13,3,99.12
2024-11-13,4,95.33
2024-11-13,5,91.82
2024-11-13,6,94.9
2024-11-13,7,104.09
2024-11-13,8,120.0
2024-11-13,9,121.76
2024-11-13,10,120.86
2024-11-13,11,104.09
2024-11-13,12,84.9
2024-11-13,13,82.99
2024-11-13,14,83.2
2024-11-13,15,84.9
2024-11-13,16,95.97
2024-11-13,17,112.35
2024-11-13,18,116.28
2024-11-13,19,121.28
2024-11-13,20,132.18
2024-11-13,21,133.61
2024-11-13,22,119.8
2024-11-13,23,115.88
2024-11-13,24,100.0
2024-11-14,1,90.2
2024-11-14,2,90.0
2024-11-14,3,89.53
2024-11-14,4,89.99
2024-11-14,5,90.2
2024-11-14,6,95.74
2024-11-14,7,110.99
2024-11-14,8,125.28
2024-11-14,9,134.11
2024-11-14,10,125.8
2024-11-14,11,121.71
2024-11-14,12,120.76
2024-11-14,13,119.8
2024-11-14,14,120.76
2024-11-14,15,122.54
2024-11-14,16,126.04
2024-11-14,17,133.12
2024-11-14,18,136.23
2024-11-14,19,146.26
2024-11-14,20,151.63
2024-11-14,21,140.1
2024-11-14,22,129.81
2024-11-14,23,123.28
2024-11-14,24,112.91
2024-11-15,1,111.6
2024-11-15,2,107.31
2024-11-15,3,107.43
2024-11-15,4,104.05
2024-11-15,5,104.81
2024-11-15,6,109.55
2024-11-15,7,130.98
2024-11-15,8,141.66
2024-11-15,9,147.22
2024-11-15,10,138.36
2024-11-15,11,131.25
2024-11-15,12,125.6
2024-11-15,13,120.47
2024-11-15,14,119.54
2024-11-15,15,120.0
